Collatz(3) Durée:7 Pair:5 Impair:2 H:[16]
Collatz(7) Durée:16 Pair:11 Impair:5 H:[52]
Collatz(15) Durée:17 Pair:12 Impair:5 H:[160]
Collatz(27) Durée:111 Pair:70 Impair:41 H:[9232]
Collatz(255) Durée:47 Pair:32 Impair:15 H:[13120]
Collatz(447) Durée:97 Pair:63 Impair:34 H:[39364]
Collatz(639) Durée:131 Pair:84 Impair:47 H:[41524]
Collatz(703) Durée:170 Pair:108 Impair:62 H:[250504]
Collatz(1819) Durée:161 Pair:103 Impair:58 H:[1276936]
Collatz(4255) Durée:201 Pair:128 Impair:73 H:[6810136]
Collatz(4591) Durée:170 Pair:109 Impair:61 H:[8153620]
Collatz(9663) Durée:184 Pair:118 Impair:66 H:[27114424]
Collatz(20895) Durée:255 Pair:162 Impair:93 H:[50143264]
Collatz(26623) Durée:307 Pair:194 Impair:113 H:[106358020]
Collatz(31911) Durée:160 Pair:104 Impair:56 H:[121012864]
Collatz(60975) Durée:334 Pair:211 Impair:123 H:[593279152]
Collatz(77671) Durée:231 Pair:148 Impair:83 H:[1570824736]
Collatz(113383) Durée:247 Pair:158 Impair:89 H:[2482111348]
Collatz(138367) Durée:162 Pair:106 Impair:56 H:[2798323360]
Collatz(159487) Durée:183 Pair:119 Impair:64 H:[17202377752]
Collatz(270271) Durée:406 Pair:256 Impair:150 H:[24648077896]
Collatz(665215) Durée:441 Pair:278 Impair:163 H:[52483285312]
Collatz(704511) Durée:242 Pair:156 Impair:86 H:[56991483520]
Collatz(1042431) Durée:439 Pair:277 Impair:162 H:[90239155648]
Collatz(1212415) Durée:328 Pair:209 Impair:119 H:[139646736808]
Collatz(1441407) Durée:367 Pair:233 Impair:134 H:[151629574372]
Collatz(1875711) Durée:370 Pair:235 Impair:135 H:[155904349696]
Collatz(1988859) Durée:427 Pair:270 Impair:157 H:[156914378224]
Collatz(2643183) Durée:430 Pair:272 Impair:158 H:[190459818484]
Collatz(2684647) Durée:399 Pair:253 Impair:146 H:[352617812944]
Collatz(3041127) Durée:363 Pair:231 Impair:132 H:[622717901620]
Collatz(3873535) Durée:322 Pair:206 Impair:116 H:[858555169576]
Collatz(4637979) Durée:573 Pair:360 Impair:213 H:[1318802294932]
